id,name,cas_no,synonyms_iupac
ACY100,Acyclovir,59277-89-3,"2-Amino-1,9-dihydro-9-((2-hydroxyethoxy)methyl)-3H-purin-6-one Adenosine"
ADN100,Adenosine,58-61-7,9-β-D-Ribofuranosyl-9H-purin-6-amine Albendazole
ALB100,Albendazole,54965-21-8,Methyl5-propylthio-2-benzimidazolecarbamate
ALB201,AlbendazoleEPImpurityA,80983-36-4,5-(Propylthio)-1H-benzimidazol-2-amine
ALB202,AlbendazoleEPImpurityB,54029-12-8,Methyl[5-(propylsulphinyl)-1Hbenzimidazol-2-yl]carbamate
ALB203,AlbendazoleEPImpurityC,75184-71-3,AlbendazoleSulfone;Methyl[5-(propylsulphonyl) -1Hbenzimidazol-2-yl]carbamate
ALB204,AlbendazoleEPImpurityD,80983-34-2,
ALB205,DesmethoxycarbonylAlbendazoleSulfone,10605-21-7,AlbendazoleEPImpurityE Alfuzosin
ALF100,Alfuzosin HCl,81403-68-1,"(RS)-N-[3-[(4-Amino-6,7-dimethoxyquinazolin-2-yl)(methyl)amino]propyl]tetrahydrofuran-2- carboxamidehydrochloride"
ALF201,AlfuzosinEPImpurityA,98902-29-5,AlfuzosinUSP RelatedCompoundA;AlfuzosinTetradehydroImpurity
ALF202,AlfuzosinEPImpurityB,23680-84-4,"2-chloro-6,7-dimethoxyquinazolin-4-amine ; 4-Amino-2-chloro-6,7-dimethoxyquinazoline ; 2-Chloro-6,7- dimethoxy-4-quinazolinamine"
ALF203,AlfuzosinEPImpurityC,72104-34-8,"(RS)-N-[3-[(4-Amino-6,7-dimethoxyquinazolin-2-yl)amino]propyl]-N-methyltetrahydrofuran-2- carboxamidehydrochloride"
ALF204,AlfuzosinEPImpurityD,81403-69-2,AlfuzosinAminopropylImpurity;AlfuzosinUSP RelatedCompoundD Page1
ALF205,AlfuzosinEPImpurityE,1026411-59-5,"N-[3-[(4-Amino-6,7-dimethoxyquinazolin-2-yl)(methyl)amino]propyl]formamidehydrochloride"
ALF206,AlfuzosinEPImpurityF,19216-53-6,"6,7-dimethoxy-N2,N2-dimethylquinazoline-2,4-diamine ; 4-Amino-2-(dimethylamino)-6,7-dimethoxy- quinazoline Allopurinol"
ALP100,Allopurinol,315-30-0,"1,5-Dihydro-4H-pyrazolo[3,4-d]pyrimidin-4-one"
ALP201,AllopurinolEPImpurityA,27511-79-1,AllopurinolUSP RCA;5-amino-1H-pyrazole-4-carboxamide
ALP202,AllopurinolEPImpurityB,22407-20-1,Allopurinol USP RCB; 5-(formylamino)-1H-pyrazole-4 -carboxamide
ALP203,AllopurinolEPImpurityC,1346604-13-4,"AllopurinolUSPRCC; 5-(4H-1,2,4-triazol-4-yl)-1H-pyrazole-4-carboxamide"
